dbn,sqrEnrollment,econNeedInd,grd8Ela,grd8Math,attdRate,pctChronAbs,sqrYear,pct10PlusYear1,pct10PlusYear1Lowest3rd,pct10PlusYear2,pct10PlusYear2Lowest3rd,pct10PlusYear3,pct10PlusYear3Lowest3rd,numYear1,numYear1Lowest3rd,numYear2,numYear2Lowest3rd,numYear3,numYear3Lowest3rd,numGradLowest3rd,numPERLowest3rd,pctCCPCILowest3rd,pctCollegeReadyLowest3rd,pctGradLowest3rd,pctPERLowest3rd,pctGradLevel1,pctGradLevel2,pctGradLevel34,numGradLevel1,numGradLevel2,numGradLevel34
11X270,381.0,0.692,2.357,2.055,0.823,0.537,2016,0.679,0.462,0.74,0.633,0.617,0.318,,,,,,,,,0.54,0.02,0.52,0.294,,,,,,
11X275,544.0,0.747,2.505,2.387,0.874,0.297,2016,0.701,0.488,0.65,0.457,0.591,0.5,,,,,,,,,0.683,0.049,0.659,0.493,,,,,,
11X288,699.0,0.643,3.025,2.856,0.879,0.348,2016,0.895,0.776,0.827,0.647,0.85,0.712,,,,,,,,,0.128,0.106,0.511,0.514,,,,,,
11X290,457.0,0.78,2.382,2.181,0.864,0.375,2016,0.818,0.719,0.682,0.545,0.785,0.633,,,,,,,,,0.088,0.105,0.614,0.377,,,,,,
11X299,465.0,0.641,2.569,2.368,0.873,0.337,2016,0.658,0.353,0.611,0.424,0.644,0.439,,,,,,,,,0.094,0.031,0.469,0.393,,,,,,
11X418,500.0,0.696,2.516,2.196,0.853,0.418,2016,0.594,0.419,0.648,0.395,0.543,0.286,,,,,,,,,0.071,0.0,0.381,0.164,,,,,,
11X455,2070.0,0.656,2.426,2.18,0.9,0.227,2016,0.7,0.473,0.691,0.5,0.675,0.549,,,,,,,,,0.155,0.015,0.472,0.25,,,,,,
11X508,434.0,0.712,2.518,2.29,0.818,0.5,2016,0.963,0.882,0.777,0.676,0.753,0.7,,,,,,,,,0.068,0.0,0.593,0.343,,,,,,
11X509,361.0,0.931,1.993,2.005,0.873,0.381,2016,0.815,0.667,0.8,0.733,0.859,0.8,,,,,,,,,0.12,0.06,0.42,0.294,,,,,,
11X513,372.0,0.897,2.023,2.095,0.926,0.213,2016,0.874,0.75,0.856,0.864,0.818,0.783,,,,,,,,,0.4,0.25,0.75,0.667,,,,,,
11X514,421.0,0.665,2.391,2.079,0.896,0.281,2016,0.853,0.692,0.609,0.133,0.645,0.318,,,,,,,,,0.043,0.064,0.468,0.257,,,,,,
11X542,490.0,0.6,2.726,2.545,0.92,0.238,2016,0.89,0.889,0.796,0.605,0.863,0.811,,,,,,,,,0.611,0.111,0.694,0.321,,,,,,
11X544,494.0,0.788,2.421,2.13,0.824,0.44,2016,0.842,0.759,0.717,0.649,0.702,0.564,,,,,,,,,0.027,0.0,0.5,0.216,,,,,,
11X545,395.0,0.754,2.356,2.194,0.83,0.418,2016,0.788,0.708,0.648,0.4,0.656,0.593,,,,,,,,,0.132,0.0,0.474,0.26,,,,,,
12X242,385.0,0.805,2.663,2.506,0.891,0.336,2016,0.783,0.581,0.798,0.677,0.872,0.815,,,,,,,,,0.069,0.241,0.621,0.516,,,,,,
12X248,341.0,0.822,2.236,2.1,0.796,0.618,2016,0.745,0.5,0.5,0.28,0.566,0.417,,,,,,,,,0.191,0.043,0.468,0.313,,,,,,
12X251,363.0,0.824,2.277,2.125,0.822,0.551,2016,0.762,0.667,0.769,0.667,0.482,0.375,,,,,,,,,0.02,0.02,0.51,0.2,,,,,,
12X267,317.0,0.846,2.561,2.409,0.899,0.303,2016,0.932,0.867,0.929,0.821,0.959,0.92,,,,,,,,,0.172,0.069,0.793,0.444,,,,,,
12X271,411.0,0.875,2.369,2.071,0.801,0.593,2016,0.663,0.433,0.592,0.406,0.511,0.379,,,,,,,,,0.078,0.059,0.784,0.245,,,,,,
12X278,125.0,0.818,2.178,1.855,0.686,0.725,2016,,,0.846,0.8,0.387,0.467,,,,,,,,,0.0,0.033,0.167,0.07,,,,,,
12X372,362.0,0.835,2.508,2.307,0.826,0.519,2016,0.705,0.517,0.756,0.69,0.777,0.552,,,,,,,,,0.032,0.032,0.548,0.432,,,,,,
12X388,441.0,0.966,1.814,1.851,0.889,0.362,2016,0.926,0.933,0.884,0.933,0.821,0.867,,,,,,,,,0.316,0.158,0.526,0.296,,,,,,
12X478,318.0,0.735,2.864,2.67,0.892,0.362,2016,0.972,0.913,0.81,0.679,0.92,0.917,,,,,,,,,0.0,0.071,0.571,0.619,,,,,,
12X479,323.0,0.844,2.312,2.107,0.757,0.591,2016,0.636,0.438,0.52,0.321,0.472,0.261,,,,,,,,,0.058,0.019,0.173,0.151,,,,,,
12X511,396.0,0.823,2.391,2.192,0.817,0.498,2016,0.785,0.548,0.719,0.6,0.646,0.409,,,,,,,,,0.07,0.0,0.488,0.385,,,,,,
12X521,425.0,0.818,2.3,2.163,0.81,0.547,2016,0.796,0.743,0.782,0.576,0.602,0.259,,,,,,,,,0.073,0.0,0.509,0.282,,,,,,
12X550,390.0,0.951,1.921,1.948,0.834,0.435,2016,0.911,0.8,0.83,0.933,0.563,,,,,,,,,,0.2,0.0,0.175,0.089,,,,,,
12X682,492.0,0.836,2.291,2.098,0.806,0.585,2016,0.722,0.657,0.715,0.585,0.679,0.541,,,,,,,,,0.351,0.108,0.554,0.257,,,,,,
12X684,500.0,0.822,2.285,2.099,0.791,0.518,2016,0.603,0.27,0.583,0.344,0.602,0.395,,,,,,,,,0.029,0.029,0.441,0.321,,,,,,
12X692,416.0,0.856,2.167,2.006,0.761,0.637,2016,0.619,0.559,0.514,0.543,0.534,0.371,,,,,,,,,0.0,0.0,0.15,0.235,,,,,,
13K265,311.0,0.778,2.571,2.168,0.809,0.668,2016,0.671,0.44,0.6,0.286,0.697,0.571,,,,,,,,,0.405,0.054,0.595,0.286,,,,,,
13K350,333.0,0.725,2.509,2.161,0.811,0.549,2016,0.731,0.68,0.719,0.586,0.721,0.474,,,,,,,,,0.042,0.0,0.667,0.222,,,,,,
13K412,379.0,0.758,2.465,2.13,0.834,0.479,2016,0.712,0.471,0.73,0.719,0.75,0.414,,,,,,,,,0.139,0.028,0.528,0.367,,,,,,
13K419,549.0,0.65,2.709,2.499,0.892,0.295,2016,0.868,0.805,0.866,0.795,0.819,0.636,,,,,,,,,0.209,0.07,0.744,0.395,,,,,,
13K430,5534.0,0.426,3.924,4.112,0.965,0.066,2016,0.97,0.927,0.968,0.927,0.959,0.942,,,,,,,,,,,,,,,,,,
13K439,362.0,0.903,1.903,2.25,0.92,0.219,2016,0.979,1.0,0.892,0.875,0.898,0.889,,,,,,,,,0.407,0.444,0.796,0.667,,,,,,
13K483,459.0,0.585,2.753,2.489,0.906,0.253,2016,0.927,0.794,0.892,0.795,0.817,0.73,,,,,,,,,0.625,0.094,0.906,0.613,,,,,,
13K499,373.0,0.743,2.38,2.135,0.774,0.517,2016,0.764,0.563,0.741,0.583,0.679,0.462,,,,,,,,,0.029,0.044,0.485,0.115,,,,,,
13K527,304.0,0.687,2.634,2.292,0.861,0.44,2016,0.919,0.821,0.885,0.708,0.886,0.727,,,,,,,,,0.417,0.0,0.5,0.615,,,,,,
13K595,361.0,0.51,3.155,2.944,0.924,0.188,2016,0.951,0.963,0.778,0.71,0.953,1.0,,,,,,,,,,,,0.714,,,,,,
13K605,619.0,0.691,2.525,2.29,0.866,0.409,2016,0.84,0.672,0.729,0.681,0.667,0.581,,,,,,,,,0.096,0.0,0.615,0.197,,,,,,
13K670,916.0,0.55,3.334,3.124,0.87,0.418,2016,0.927,0.831,0.821,0.696,0.741,0.654,,,,,,,,,0.25,0.167,0.75,0.692,,,,,,
13K674,451.0,0.531,2.848,2.764,0.897,0.264,2016,0.759,0.571,0.793,0.459,0.802,0.818,,,,,,,,,0.238,0.143,0.667,0.467,,,,,,
14K071,387.0,0.862,2.175,2.04,0.872,0.38,2016,0.777,0.727,0.716,0.462,0.708,0.679,,,,,,,,,0.081,0.0,0.405,0.156,,,,,,
14K322,73.0,0.838,2.206,2.005,0.758,0.703,2016,,,,,,,,,,,,,,,0.045,0.045,0.318,0.125,,,,,,
14K449,664.0,0.436,3.83,3.977,0.935,0.193,2016,0.974,0.933,0.943,0.903,0.956,0.965,,,,,,,,,,,,,,,,,,
14K454,261.0,0.842,2.332,2.084,0.846,0.475,2016,0.892,0.8,0.756,0.6,0.69,0.667,,,,,,,,,0.139,0.0,0.528,0.313,,,,,,
14K474,949.0,0.772,2.404,2.192,0.832,0.426,2016,0.837,0.721,0.693,0.554,0.78,0.6,,,,,,,,,0.048,0.021,0.566,0.303,,,,,,
14K477,509.0,0.817,2.448,2.196,0.775,0.63,2016,0.814,0.75,0.648,0.448,0.633,0.571,,,,,,,,,0.128,0.013,0.359,0.111,,,,,,
14K478,913.0,0.726,2.547,2.428,0.867,0.354,2016,0.834,0.694,0.725,0.573,0.747,0.606,,,,,,,,,0.568,0.027,0.595,0.266,,,,,,
14K488,513.0,0.636,2.729,2.439,0.872,0.347,2016,0.928,0.867,0.847,0.738,0.926,0.833,,,,,,,,,0.07,0.0,0.744,0.472,,,,,,
14K558,573.0,0.682,2.609,2.473,0.903,0.294,2016,0.931,0.913,0.939,0.867,0.852,0.711,,,,,,,,,0.792,0.094,0.849,0.369,,,,,,
14K561,680.0,0.66,2.78,2.591,0.897,0.299,2016,0.962,0.923,0.892,0.813,0.908,0.873,,,,,,,,,0.234,0.106,0.745,0.608,,,,,,
14K586,353.0,0.854,2.382,2.064,0.81,0.552,2016,0.685,0.733,0.783,0.677,0.631,0.654,,,,,,,,,0.077,0.051,0.462,0.227,,,,,,
14K610,372.0,0.706,2.315,2.148,0.785,0.595,2016,0.789,0.615,0.694,0.686,0.489,0.4,,,,,,,,,0.065,0.0,0.5,0.119,,,,,,
14K614,237.0,0.716,2.791,2.465,0.895,0.306,2016,0.894,0.8,0.956,0.952,0.964,0.941,,,,,,,,,0.125,0.0,1.0,0.692,,,,,,
14K632,110.0,0.8,2.36,2.136,0.878,0.297,2016,0.813,0.8,0.75,0.563,0.548,0.467,,,,,,,,,0.0,0.0,0.583,0.385,,,,,,
14K685,246.0,0.773,2.439,2.224,0.857,0.435,2016,0.929,0.882,0.929,1.0,0.627,0.474,,,,,,,,,0.364,0.485,0.636,0.237,,,,,,
15K429,169.0,0.745,2.479,2.228,0.871,0.446,2016,0.778,0.5,0.758,0.733,0.659,0.667,,,,,,,,,0.059,0.118,0.588,0.353,,,,,,
15K448,415.0,0.638,2.648,2.279,0.83,0.52,2016,0.743,0.438,0.724,0.548,0.814,0.848,,,,,,,,,0.912,0.471,0.882,0.636,,,,,,
15K462,357.0,0.66,2.608,2.324,0.847,0.443,2016,0.782,0.607,0.713,0.571,0.753,0.677,,,,,,,,,0.111,0.111,0.741,0.591,,,,,,
15K463,222.0,0.694,2.552,2.265,0.813,0.55,2016,0.66,0.467,0.535,0.455,0.529,0.375,,,,,,,,,0.111,0.056,0.556,0.371,,,,,,
15K464,356.0,0.607,2.504,2.277,0.885,0.344,2016,0.879,0.763,0.875,0.741,0.812,0.762,,,,,,,,,0.742,0.032,0.677,0.414,,,,,,
15K497,311.0,0.697,2.543,2.397,0.813,0.615,2016,0.955,0.857,0.753,0.556,0.843,0.778,,,,,,,,,0.0,0.053,0.526,0.19,,,,,,
15K519,589.0,0.712,2.511,2.231,0.814,0.488,2016,0.753,0.5,0.831,0.647,0.762,0.571,,,,,,,,,0.429,0.048,0.714,0.391,,,,,,
15K592,232.0,0.765,2.478,2.209,0.862,0.367,2016,0.741,0.6,0.809,0.688,0.655,0.533,,,,,,,,,0.0,0.05,0.3,,,,,,,
15K656,924.0,0.583,2.883,2.614,0.916,0.245,2016,0.871,0.718,0.798,0.622,0.772,0.634,,,,,,,,,0.071,0.119,0.69,0.741,,,,,,
15K667,1314.0,0.753,2.476,2.334,0.858,0.361,2016,0.871,0.792,0.805,0.667,0.786,0.638,,,,,,,,,0.733,0.025,0.509,0.373,,,,,,
15K684,620.0,0.401,3.544,3.356,0.937,0.149,2016,0.975,0.907,1.0,1.0,0.988,1.0,,,,,,,,,,,,,,,,,,
16K393,77.0,0.802,2.339,1.942,0.845,0.487,2016,,,0.5,0.533,0.625,0.533,,,,,,,,,0.077,0.077,0.538,0.071,,,,,,
16K455,383.0,0.783,2.282,2.11,0.822,0.432,2016,0.789,0.545,0.754,0.476,0.615,0.361,,,,,,,,,0.044,0.0,0.338,0.196,,,,,,
16K498,650.0,0.727,2.567,2.311,0.875,0.278,2016,0.887,0.854,0.81,0.588,0.744,0.554,,,,,,,,,0.031,0.0,0.554,0.229,,,,,,
16K594,197.0,0.778,2.434,2.179,0.755,0.645,2016,0.5,0.267,0.561,0.333,0.563,0.235,,,,,,,,,0.0,0.214,0.429,0.233,,,,,,
16K688,126.0,0.851,2.177,2.042,0.795,0.672,2016,0.733,,0.933,0.933,0.628,0.467,,,,,,,,,0.16,0.0,0.6,0.056,,,,,,
16K765,212.0,0.775,2.34,2.105,0.794,0.493,2016,0.681,0.538,0.686,0.567,,,,,,,,,,,,,,,,,,,,
17K122,517.0,0.56,2.707,2.49,0.927,0.2,2016,0.823,0.639,0.843,0.73,0.716,0.69,,,,,,,,,0.528,0.306,0.5,0.52,,,,,,
17K382,316.0,0.705,2.406,2.165,0.793,0.531,2016,0.831,0.667,0.645,0.556,0.614,0.389,,,,,,,,,0.091,0.045,0.364,0.216,,,,,,
17K408,224.0,0.712,2.257,2.047,0.789,0.462,2016,0.692,0.6,0.593,0.333,0.491,0.133,,,,,,,,,0.063,0.0,0.313,0.395,,,,,,
17K524,417.0,0.897,1.846,1.976,0.878,0.325,2016,0.89,0.8,0.946,0.875,0.72,0.733,,,,,,,,,0.0,0.029,0.429,0.308,,,,,,
17K528,231.0,0.681,2.457,2.158,0.879,0.332,2016,0.854,0.867,0.778,0.588,0.652,0.667,,,,,,,,,0.074,0.0,0.333,0.129,,,,,,
17K531,303.0,0.659,2.524,2.227,0.893,0.275,2016,0.844,0.682,0.846,0.739,0.712,0.733,,,,,,,,,0.31,0.0,0.586,0.423,,,,,,
17K533,245.0,0.667,2.392,2.195,0.767,0.584,2016,0.735,0.467,0.564,0.4,0.537,0.133,,,,,,,,,0.051,0.0,0.41,0.25,,,,,,
17K537,394.0,0.69,2.428,2.125,0.873,0.337,2016,0.849,0.704,0.774,0.593,0.763,0.6,,,,,,,,,0.089,0.044,0.533,0.365,,,,,,
17K539,412.0,0.669,2.455,2.181,0.842,0.351,2016,0.824,0.722,0.677,0.643,0.71,0.481,,,,,,,,,0.029,0.029,0.457,0.276,,,,,,
17K543,332.0,0.51,3.273,3.209,0.959,0.089,2016,0.967,0.931,0.932,0.833,0.923,0.857,,,,,,,,,,,,,,,,,,
17K546,467.0,0.6,3.083,2.869,0.931,0.154,2016,0.898,0.756,0.891,0.854,0.908,0.839,,,,,,,,,0.875,0.0,0.875,0.667,,,,,,
17K547,427.0,0.67,2.473,2.234,0.9,0.267,2016,0.742,0.645,0.602,0.348,0.713,0.583,,,,,,,,,0.065,0.065,0.597,0.429,,,,,,
17K548,352.0,0.701,2.465,2.137,0.86,0.402,2016,0.754,0.522,0.608,0.455,0.667,0.5,,,,,,,,,0.045,0.0,0.773,0.462,,,,,,
17K590,946.0,0.474,3.369,3.236,0.886,0.359,2016,0.874,0.714,0.902,0.843,0.622,0.782,,,,,,,,,0.222,0.0,0.889,0.583,,,,,,
17K600,1358.0,0.63,2.596,2.309,0.899,0.259,2016,0.764,0.55,0.664,0.537,0.676,0.598,,,,,,,,,0.21,0.014,0.514,0.254,,,,,,
17K745,353.0,0.637,2.481,2.154,0.925,0.193,2016,0.871,0.84,0.942,1.0,0.842,0.647,,,,,,,,,0.12,0.0,0.76,,,,,,,
17K751,362.0,0.735,2.554,2.304,0.834,0.505,2016,0.688,0.517,0.729,0.5,0.848,0.76,,,,,,,,,0.0,0.042,0.583,0.265,,,,,,
18K563,608.0,0.668,2.62,2.368,0.915,0.181,2016,0.963,0.892,0.94,0.9,0.912,0.846,,,,,,,,,0.529,0.059,0.618,0.6,,,,,,
18K566,234.0,0.622,2.431,2.109,0.889,0.227,2016,0.759,0.588,0.625,0.467,0.689,0.467,,,,,,,,,0.088,0.0,0.441,0.29,,,,,,
18K567,374.0,0.694,2.458,2.168,0.811,0.561,2016,0.731,0.516,0.67,0.438,0.706,0.676,,,,,,,,,0.526,0.053,0.526,0.442,,,,,,
18K569,357.0,0.63,2.435,2.144,0.902,0.243,2016,0.796,0.655,0.798,0.639,0.824,0.8,,,,,,,,,0.156,0.063,0.531,0.486,,,,,,
18K576,339.0,0.604,2.49,2.25,0.903,0.329,2016,0.902,0.769,0.842,0.733,0.776,0.458,,,,,,,,,0.063,0.0,0.625,0.345,,,,,,
18K589,236.0,0.735,2.476,2.131,0.852,0.462,2016,0.653,0.6,0.585,0.188,0.587,0.476,,,,,,,,,0.0,0.0,0.586,0.132,,,,,,
18K617,296.0,0.609,2.369,2.138,0.866,0.409,2016,0.758,0.85,0.662,0.4,0.632,0.421,,,,,,,,,0.184,0.079,0.632,0.429,,,,,,
18K629,354.0,0.598,2.412,2.201,0.877,0.346,2016,0.778,0.4,0.723,0.5,0.656,0.476,,,,,,,,,0.152,0.0,0.333,0.325,,,,,,
18K633,413.0,0.604,2.753,2.493,0.919,0.241,2016,0.876,0.742,0.925,0.882,0.918,0.867,,,,,,,,,0.083,0.028,0.639,0.28,,,,,,
18K637,293.0,0.667,2.481,2.23,0.827,0.525,2016,0.817,0.5,0.779,0.625,0.718,0.611,,,,,,,,,0.0,0.0,0.625,0.391,,,,,,
18K642,293.0,0.641,2.38,2.118,0.804,0.539,2016,0.842,0.733,0.776,0.667,0.694,0.529,,,,,,,,,0.026,0.0,0.421,0.1,,,,,,
19K404,374.0,0.701,2.808,2.311,0.893,0.386,2016,0.827,0.731,0.693,0.5,0.764,0.61,,,,,,,,,0.0,0.0,0.636,0.378,,,,,,
19K409,281.0,0.72,2.629,2.483,0.897,0.348,2016,0.875,0.769,0.667,0.381,0.597,0.348,,,,,,,,,0.1,0.0,0.7,0.214,,,,,,
19K422,79.0,0.739,2.451,2.197,0.91,0.286,2016,0.846,0.667,,,,,,,,,,,,,,,,,,,,,,
19K502,334.0,0.762,2.344,2.092,0.814,0.48,2016,0.76,0.529,0.622,0.541,0.672,0.5,,,,,,,,,0.029,0.0,0.765,0.289,,,,,,
19K504,293.0,0.774,2.275,2.051,0.721,0.692,2016,0.608,0.333,0.36,0.333,0.438,0.333,,,,,,,,,0.043,0.0,0.478,0.213,,,,,,
19K507,441.0,0.778,2.45,2.184,0.84,0.401,2016,0.781,0.563,0.645,0.581,0.515,0.323,,,,,,,,,0.038,0.0,0.642,0.277,,,,,,
19K510,251.0,0.774,2.395,2.129,0.825,0.508,2016,0.911,0.813,0.765,0.667,0.612,0.4,,,,,,,,,0.148,0.0,0.481,0.385,,,,,,
19K583,208.0,0.96,1.871,2.001,0.893,0.359,2016,0.867,,0.809,0.8,0.653,,,,,,,,,,0.368,0.0,0.421,0.217,,,,,,
19K615,1023.0,0.712,2.432,2.258,0.851,0.34,2016,0.708,0.529,0.621,0.482,0.623,0.429,,,,,,,,,0.2,0.036,0.6,0.27,,,,,,
19K618,406.0,0.709,2.441,2.176,0.86,0.395,2016,0.807,0.595,0.822,0.656,0.567,0.37,,,,,,,,,0.049,0.0,0.561,0.351,,,,,,
19K639,330.0,0.802,2.317,2.096,0.755,0.622,2016,0.526,0.222,0.667,0.6,0.571,0.4,,,,,,,,,0.0,0.023,0.386,0.207,,,,,,
19K659,232.0,0.783,2.381,2.181,0.832,0.419,2016,0.925,0.867,0.804,0.667,0.701,0.579,,,,,,,,,0.585,0.0,0.585,0.271,,,,,,
19K660,498.0,0.783,2.275,2.035,0.744,0.559,2016,0.788,0.657,0.685,0.65,0.59,0.488,,,,,,,,,0.069,0.097,0.528,0.188,,,,,,
19K683,305.0,0.755,2.456,2.125,0.824,0.484,2016,0.833,0.636,0.759,0.731,0.694,0.6,,,,,,,,,0.027,0.054,0.405,0.225,,,,,,
19K764,154.0,0.76,2.521,2.267,0.87,0.396,2016,0.708,0.5,0.675,0.471,,,,,,,,,,,,,,,,,,,,
20K445,3553.0,0.694,2.674,2.78,0.854,0.329,2016,0.815,0.648,0.76,0.527,0.784,0.652,,,,,,,,,0.174,0.055,0.393,0.405,,,,,,
20K485,1277.0,0.629,2.803,2.816,0.925,0.195,2016,0.913,0.839,0.869,0.676,0.824,0.619,,,,,,,,,0.514,0.095,0.554,0.52,,,,,,
20K490,4408.0,0.646,2.885,2.919,0.905,0.231,2016,0.845,0.677,0.806,0.639,0.77,0.614,,,,,,,,,0.161,0.068,0.414,0.254,,,,,,
20K505,3177.0,0.769,2.563,2.522,0.881,0.257,2016,0.772,0.572,0.666,0.516,0.651,0.48,,,,,,,,,0.199,0.026,0.306,0.201,,,,,,
20K609,327.0,0.724,2.871,2.613,0.91,0.295,2016,0.939,0.88,0.915,0.793,0.943,0.926,,,,,,,,,0.056,0.056,0.778,0.591,,,,,,
21K337,366.0,0.929,1.84,2.356,0.895,0.327,2016,0.953,0.95,0.848,0.867,0.708,0.933,,,,,,,,,0.375,0.2,0.45,0.39,,,,,,
21K344,562.0,0.621,2.729,2.502,0.855,0.417,2016,0.794,0.643,0.776,0.581,0.628,0.486,,,,,,,,,0.098,0.073,0.561,0.391,,,,,,
21K348,262.0,0.725,2.378,2.257,0.774,0.631,2016,0.809,0.682,0.585,0.25,0.574,0.476,,,,,,,,,0.08,0.04,0.52,0.353,,,,,,
21K410,2108.0,0.702,2.62,2.453,0.848,0.374,2016,0.788,0.599,0.689,0.543,0.699,0.53,,,,,,,,,0.209,0.025,0.411,0.278,,,,,,
21K468,349.0,0.566,3.137,3.094,0.909,0.271,2016,0.978,0.931,0.967,0.967,0.845,0.714,,,,,,,,,0.875,0.125,0.75,0.6,,,,,,
21K525,3885.0,0.531,2.978,2.947,0.909,0.211,2016,0.828,0.629,0.813,0.608,0.787,0.632,,,,,,,,,0.241,0.041,0.476,0.346,,,,,,
21K540,2225.0,0.702,2.649,2.677,0.867,0.23,2016,0.824,0.625,0.786,0.643,0.756,0.546,,,,,,,,,0.18,0.045,0.432,0.252,,,,,,
21K559,289.0,0.675,2.591,2.33,0.885,0.33,2016,0.905,0.857,0.938,0.905,0.831,0.75,,,,,,,,,0.586,0.172,0.897,0.577,,,,,,
21K572,283.0,0.683,2.71,2.658,0.864,0.405,2016,0.939,0.846,0.955,0.947,0.881,0.824,,,,,,,,,0.929,0.571,0.857,0.438,,,,,,
21K620,549.0,0.669,2.382,2.183,0.837,0.397,2016,0.612,0.5,0.608,0.436,0.636,0.444,,,,,,,,,0.148,0.0,0.295,0.238,,,,,,
21K690,663.0,0.638,2.778,2.616,0.881,0.366,2016,0.744,0.596,0.728,0.54,0.834,0.766,,,,,,,,,0.212,0.03,0.606,0.444,,,,,,
22K405,3986.0,0.51,3.306,3.342,0.928,0.173,2016,0.948,0.857,0.92,0.796,0.889,0.739,,,,,,,,,0.231,0.083,0.562,0.48,,,,,,
22K425,3250.0,0.552,2.915,2.826,0.927,0.151,2016,0.867,0.723,0.793,0.633,0.809,0.721,,,,,,,,,0.226,0.05,0.497,0.388,,,,,,
22K495,233.0,0.611,2.39,2.233,0.699,0.683,2016,,,,,,,,,,,,,,,0.126,0.0,0.437,0.183,,,,,,
22K535,1047.0,0.373,3.595,3.691,0.957,0.076,2016,0.966,0.928,0.942,0.81,0.935,0.843,,,,,,,,,0.556,0.111,0.667,0.4,,,,,,
22K555,596.0,0.454,3.348,3.177,0.959,0.101,2016,0.993,0.977,0.96,0.907,0.87,0.844,,,,,,,,,0.909,0.0,0.818,,,,,,,
22K611,333.0,0.69,2.625,2.454,0.87,0.385,2016,0.933,0.897,0.843,0.645,0.86,0.65,,,,,,,,,,,,,,,,,,
23K493,307.0,0.709,2.394,2.14,0.863,0.398,2016,0.739,0.667,0.81,0.76,0.763,0.565,,,,,,,,,0.043,0.065,0.5,0.163,,,,,,
23K514,252.0,0.72,2.321,2.065,0.807,0.547,2016,0.806,0.667,0.593,0.4,0.692,0.476,,,,,,,,,0.026,0.0,0.289,0.211,,,,,,
23K644,339.0,0.682,2.433,2.112,0.905,0.255,2016,0.939,0.941,0.9,0.931,0.877,0.739,,,,,,,,,0.061,0.03,0.788,0.571,,,,,,
23K697,299.0,0.732,2.479,2.216,0.806,0.5,2016,0.681,0.438,0.574,0.263,0.576,0.389,,,,,,,,,0.029,0.059,0.353,0.293,,,,,,
24Q236,232.0,0.933,2.244,2.325,0.9,0.278,2016,0.681,0.533,0.717,0.867,0.586,,,,,,,,,,,,,,,,,,,
24Q264,514.0,0.544,2.968,3.021,0.923,0.204,2016,0.939,0.825,0.94,0.839,0.94,0.892,,,,,,,,,0.438,0.313,0.688,0.789,,,,,,
24Q267,407.0,0.524,2.68,2.599,0.877,0.326,2016,0.918,0.867,0.816,0.706,0.791,0.75,,,,,,,,,0.517,0.034,0.552,0.378,,,,,,
24Q293,467.0,0.632,2.802,2.657,0.907,0.269,2016,0.945,0.9,0.889,0.784,0.931,0.848,,,,,,,,,0.13,0.304,0.826,0.477,,,,,,
24Q296,380.0,0.871,1.874,1.947,0.912,0.263,2016,0.964,1.0,0.947,0.938,0.938,1.0,,,,,,,,,0.458,0.313,0.729,0.351,,,,,,
24Q299,600.0,0.33,3.919,4.048,0.973,0.035,2016,0.986,0.976,1.0,1.0,0.986,0.977,,,,,,,,,,,,,,,,,,
24Q455,1961.0,0.657,2.525,2.43,0.879,0.285,2016,0.818,0.68,0.756,0.684,0.636,0.495,,,,,,,,,0.214,0.021,0.434,0.225,,,,,,
24Q485,1731.0,0.658,2.551,2.411,0.843,0.444,2016,0.806,0.625,0.666,0.445,0.613,0.487,,,,,,,,,0.222,0.022,0.37,0.221,,,,,,
24Q520,513.0,0.598,2.665,2.61,0.932,0.2,2016,0.905,0.914,0.868,0.842,0.627,0.486,,,,,,,,,0.822,0.333,0.711,0.447,,,,,,
24Q530,518.0,0.797,2.026,2.426,0.921,0.198,2016,0.927,0.875,0.916,0.848,0.89,0.844,,,,,,,,,0.753,0.358,0.84,0.6,,,,,,
24Q550,823.0,0.612,2.771,2.674,0.913,0.252,2016,0.911,0.75,0.909,0.768,0.788,0.684,,,,,,,,,0.697,0.121,0.818,0.529,,,,,,
24Q560,513.0,0.528,2.834,2.828,0.895,0.266,2016,0.906,0.738,0.941,0.868,0.843,0.684,,,,,,,,,0.048,0.048,0.619,0.412,,,,,,
24Q585,1001.0,0.399,3.247,3.213,0.919,0.256,2016,0.992,0.988,0.992,0.986,0.988,0.975,,,,,,,,,0.708,0.125,0.958,0.66,,,,,,
24Q600,1575.0,0.583,2.793,2.784,0.905,0.248,2016,0.8,0.579,0.81,0.648,0.808,0.658,,,,,,,,,0.459,0.054,0.554,0.3,,,,,,
24Q610,2148.0,0.534,3.081,3.268,0.958,0.078,2016,0.962,0.9,0.95,0.884,0.937,0.897,,,,,,,,,0.633,0.143,0.673,0.528,,,,,,
25Q240,410.0,0.533,2.78,2.67,0.901,0.278,2016,0.824,0.636,0.85,0.758,0.878,0.821,,,,,,,,,,,,,,,,,,
25Q241,297.0,0.731,2.728,2.858,0.951,0.13,2016,0.968,1.0,1.0,1.0,0.907,0.647,,,,,,,,,,,,,,,,,,
25Q252,317.0,0.452,3.208,3.053,0.941,0.154,2016,0.92,0.741,0.887,0.696,0.835,0.846,,,,,,,,,,,,0.556,,,,,,
25Q263,442.0,0.876,1.943,2.5,0.904,0.273,2016,0.81,0.8,0.864,0.75,0.698,0.6,,,,,,,,,0.152,0.182,0.364,0.325,,,,,,
