type,desc,zip,boroughBlockLot,censusTract,geoDis,dbn
General Academic,Secondary School,10452,2028590077.0,20900.0,9,09X327
General Academic,Junior High-Intermediate-Middle,10456,2024240001.0,17300.0,9,09X328
General Academic,High school,10457,2028170002.0,22500.0,9,09X329
General Academic,Junior High-Intermediate-Middle,10457,2028970005.0,16700.0,9,09X339
Transfer School,High school,10457,2028170002.0,22500.0,9,09X350
General Academic,Junior High-Intermediate-Middle,10452,2025270032.0,19300.0,9,09X361
General Academic,High school,10453,2028660070.0,21502.0,9,09X365
General Academic,High school,10456,2026340001.0,13500.0,9,09X403
General Academic,High school,10456,2026340001.0,13500.0,9,09X404
General Academic,High school,10457,2028170002.0,22500.0,9,09X412
General Academic,Secondary School,10457,2028170002.0,22500.0,9,09X413
General Academic,Elementary,10456,2024560100.0,18102.0,9,09X443
General Academic,Elementary,10456,2024460043.0,18302.0,9,09X449
General Academic,Junior High-Intermediate-Middle,10456,2024460043.0,18302.0,9,09X454
General Academic,Elementary,10456,2024560100.0,18102.0,9,09X457
General Academic,Secondary School,10451,2024450006.0,18302.0,9,09X505
General Academic,High school,10456,2029250001.0,14701.0,9,09X517
General Academic,High school,10457,2028980001.0,16500.0,9,09X525
General Academic,High school,10456,2026340001.0,13500.0,9,09X543
General Academic,Elementary,10452,2028590077.0,20900.0,9,09X555
General Academic,High school,10457,2028170002.0,22500.0,9,09X564
General Academic,Secondary School,10453,2028270001.0,23301.0,9,09X568
General Academic,District Pre-K Center,10452,2025220070.0,21100.0,9,09X582
General Academic,Junior High-Intermediate-Middle,10456,2024240001.0,17300.0,9,09X593
General Academic,Junior High-Intermediate-Middle,10456,2024240001.0,17300.0,9,09X594
General Academic,K-8,10457,2030620043.0,37504.0,10,10X003
General Academic,Elementary,10463,2057560195.0,28700.0,10,10X007
General Academic,Elementary,10458,2032990060.0,41500.0,10,10X008
General Academic,Elementary,10458,2031500010.0,38301.0,10,10X009
General Academic,K-8,10453,2032240009.0,25500.0,10,10X015
General Academic,K-8,10467,2033300001.0,42500.0,10,10X020
General Academic,Elementary,10457,2030370079.0,39500.0,10,10X023
General Academic,Elementary,10463,2059170140.0,30900.0,10,10X024
General Academic,Elementary,10458,2030850001.0,39100.0,10,10X032
General Academic,Elementary,10468,2031880020.0,23900.0,10,10X033
General Academic,K-8,10463,2057160725.0,29302.0,10,10X037
General Academic,Junior High-Intermediate-Middle,10458,2030670001.0,38700.0,10,10X045
General Academic,Elementary,10458,2032950001.0,40501.0,10,10X046
General Academic,Elementary,10457,2030840001.0,39100.0,10,10X051
General Academic,Elementary,10458,2032780014.0,40502.0,10,10X054
General Academic,Elementary,10467,2033510001.0,42902.0,10,10X056
General Academic,Elementary,10457,2030490037.0,39500.0,10,10X059
General Academic,Elementary,10467,2033530040.0,42500.0,10,10X077
General Academic,Junior High-Intermediate-Middle,10467,2033360035.0,41900.0,10,10X080
General Academic,Elementary,10471,2058501550.0,33700.0,10,10X081
General Academic,Elementary,10458,2030240021.0,38302.0,10,10X085
General Academic,Elementary,10468,2032470070.0,40900.0,10,10X086
General Academic,Elementary,10453,2032080001.0,25100.0,10,10X091
General Academic,Elementary,10467,2033560036.0,43100.0,10,10X094
General Academic,K-8,10463,2032520182.0,28100.0,10,10X095
General Academic,Junior High-Intermediate-Middle,10457,2030690001.0,37504.0,10,10X118
General Academic,Secondary School,10463,2059180376.0,30900.0,10,10X141
General Academic,Elementary,10458,2030380065.0,38500.0,10,10X159
General Academic,Elementary,10458,2031150021.0,39300.0,10,10X205
General Academic,Junior High-Intermediate-Middle,10468,2032090001.0,25300.0,10,10X206
General Academic,Elementary,10463,2057010105.0,28900.0,10,10X207
General Academic,Early Childhood,10458,2031460075.0,38301.0,10,10X209
General Academic,High school,10463,1022150080.0,30900.0,10,10X213
General Academic,Secondary School,10457,2031430043.0,37900.0,10,10X225
General Academic,Elementary,10453,2032220100.0,24900.0,10,10X226
General Academic,Junior High-Intermediate-Middle,10458,2030337501.0,38302.0,10,10X228
General Academic,High school,10463,2032530141.0,27300.0,10,10X237
General Academic,Secondary School,10458,2030590001.0,38700.0,10,10X243
General Academic,Junior High-Intermediate-Middle,10463,2032530141.0,27300.0,10,10X244
General Academic,Elementary,10468,2031680027.0,40100.0,10,10X246
General Academic,Junior High-Intermediate-Middle,10458,2030580003.0,38700.0,10,10X254
Career Technical,High school,10458,2031040007.0,39300.0,10,10X264
General Academic,High school,10468,2032470070.0,40900.0,10,10X268
General Academic,K-8,10453,2031780014.0,24100.0,10,10X279
General Academic,K-8,10467,2033360035.0,41900.0,10,10X280
General Academic,High school,10463,1022150080.0,30900.0,10,10X284
General Academic,Elementary,10453,2032240009.0,25500.0,10,10X291
General Academic,Elementary,10453,2028620014.0,21700.0,10,10X306
General Academic,Elementary,10468,2032480062.0,26701.0,10,10X307
General Academic,Junior High-Intermediate-Middle,10467,2033290124.0,43100.0,10,10X308
General Academic,Elementary,10463,2032390041.0,26900.0,10,10X310
General Academic,K-8,10468,2032500073.0,26702.0,10,10X315
Transfer School,High school,10457,2030610055.0,37504.0,10,10X319
General Academic,Junior High-Intermediate-Middle,10453,2028620014.0,21700.0,10,10X331
General Academic,Elementary,10468,2032470015.0,40900.0,10,10X340
General Academic,Secondary School,10468,2032470070.0,40900.0,10,10X342
General Academic,Elementary,10463,2032520182.0,28100.0,10,10X344
General Academic,High school,10468,2032510201.0,40900.0,10,10X351
General Academic,High school,10468,2032510201.0,40900.0,10,10X353
General Academic,Elementary,10463,2032530341.0,27300.0,10,10X360
General Academic,Junior High-Intermediate-Middle,10468,2031720046.0,23703.0,10,10X363
General Academic,Secondary School,10463,2057160725.0,29302.0,10,10X368
General Academic,High school,10458,2030590001.0,38700.0,10,10X374
General Academic,Elementary,10453,2031700001.0,23704.0,10,10X382
General Academic,Elementary,10453,2031700001.0,23704.0,10,10X386
General Academic,Junior High-Intermediate-Middle,10453,2032160002.0,24502.0,10,10X390
General Academic,Junior High-Intermediate-Middle,10457,2031430043.0,37900.0,10,10X391
General Academic,Elementary,10453,2032160002.0,24502.0,10,10X396
Transfer School,High school,10463,1022150080.0,30900.0,10,10X397
General Academic,High school,10468,2032470070.0,40900.0,10,10X433
General Academic,High school,10458,2030590001.0,38700.0,10,10X434
General Academic,High school,10458,2030590001.0,38700.0,10,10X437
General Academic,High school,10458,2030590001.0,38700.0,10,10X438
General Academic,High school,10458,2030590001.0,38700.0,10,10X439
General Academic,High school,10468,2032510201.0,40900.0,10,10X440
General Academic,High school,10468,2032470070.0,40900.0,10,10X442
General Academic,High school,10468,2032510201.0,40900.0,10,10X445
General Academic,Junior High-Intermediate-Middle,10453,2031700001.0,23704.0,10,10X447
General Academic,High school,10463,1022150080.0,30900.0,10,10X477
Career Technical,High school,10458,2031040007.0,39300.0,10,10X524
General Academic,District Pre-K Center,10458,2030260014.0,39902.0,10,10X535
General Academic,High school,10463,1022150080.0,30900.0,10,10X546
General Academic,High school,10468,2032470070.0,40900.0,10,10X549
Career Technical,High school,10458,2031040007.0,39300.0,10,10X565
General Academic,High school,10468,2032460002.0,40900.0,10,10X696
General Academic,Elementary,10470,2050760031.0,41400.0,11,11X016
General Academic,K-8,10470,2033860001.0,45102.0,11,11X019
General Academic,Elementary,10466,2048390039.0,40600.0,11,11X021
General Academic,Elementary,10467,2046240015.0,37400.0,11,11X041
General Academic,Elementary,10466,2049860081.0,42600.0,11,11X068
General Academic,Elementary,10469,2045520010.0,34200.0,11,11X076
General Academic,Elementary,10469,2047190001.0,38600.0,11,11X078
General Academic,K-8,10462,2041250001.0,24400.0,11,11X083
General Academic,Elementary,10466,2050180001.0,42800.0,11,11X087
General Academic,K-8,10469,2044440016.0,32400.0,11,11X089
General Academic,Elementary,10467,2043410013.0,33201.0,11,11X096
General Academic,Elementary,10469,2044740001.0,31400.0,11,11X097
General Academic,Elementary,10466,2048230001.0,42000.0,11,11X103
General Academic,Elementary,10462,2042880001.0,22404.0,11,11X105
General Academic,Elementary,10462,2039460007.0,22200.0,11,11X106
General Academic,Elementary,10461,2042750001.0,28800.0,11,11X108
General Academic,Elementary,10466,2049160001.0,48400.0,11,11X111
General Academic,Elementary,10466,2049050500.0,45800.0,11,11X112
General Academic,Elementary,10469,2045260001.0,34800.0,11,11X121
General Academic,Junior High-Intermediate-Middle,10462,2039480055.0,22200.0,11,11X127
General Academic,Junior High-Intermediate-Middle,10469,2044930001.0,31000.0,11,11X144
General Academic,Elementary,10475,2051410150.0,46201.0,11,11X153
General Academic,Elementary,10475,2051350200.0,30200.0,11,11X160
General Academic,Elementary,10466,2048940001.0,46000.0,11,11X169
General Academic,K-8,10464,2056410280.0,51600.0,11,11X175
General Academic,Elementary,10475,2051410150.0,46201.0,11,11X178
General Academic,Junior High-Intermediate-Middle,10475,2051410150.0,46201.0,11,11X180
General Academic,Junior High-Intermediate-Middle,10475,2051410150.0,46201.0,11,11X181
General Academic,Elementary,10475,2052630192.0,46202.0,11,11X189
General Academic,K-8,10462,2038340070.0,9600.0,11,11X194
General Academic,High school,10475,2051410150.0,46201.0,11,11X249
General Academic,High school,10467,2046330040.0,37200.0,11,11X253
General Academic,High school,10467,2046330040.0,37200.0,11,11X265
General Academic,High school,10466,2048640035.0,40400.0,11,11X270
Career Technical,High school,10467,2046330040.0,37200.0,11,11X275
General Academic,Junior High-Intermediate-Middle,10467,2046750020.0,39000.0,11,11X287
General Academic,High school,10469,2043580001.0,32400.0,11,11X288
General Academic,High school,10467,2046330040.0,37200.0,11,11X290
General Academic,High school,10469,2043580001.0,32400.0,11,11X299
General Academic,Junior High-Intermediate-Middle,10467,2044320001.0,33000.0,11,11X326
General Academic,Junior High-Intermediate-Middle,10466,2049350001.0,48400.0,11,11X355
General Academic,Elementary,10462,2042930031.0,22800.0,11,11X357
General Academic,Junior High-Intermediate-Middle,10467,2046750020.0,39000.0,11,11X370
General Academic,High school,10462,2042900048.0,22800.0,11,11X418
General Academic,High school,10475,2051410150.0,46201.0,11,11X455
General Academic,Junior High-Intermediate-Middle,10475,2052630192.0,46202.0,11,11X462
General Academic,Junior High-Intermediate-Middle,10467,2044320001.0,33000.0,11,11X468
General Academic,Elementary,10462,2040370001.0,23800.0,11,11X481
General Academic,Elementary,10470,2050800001.0,41400.0,11,11X483
General Academic,K-8,10462,2040910001.0,24400.0,11,11X498
General Academic,High school,10469,2043580001.0,32400.0,11,11X508
General Academic,High school,10469,2043580001.0,32400.0,11,11X509
General Academic,High school,10466,2048640035.0,40400.0,11,11X513
General Academic,High school,10466,2048640035.0,40400.0,11,11X514
General Academic,Junior High-Intermediate-Middle,10466,2049350001.0,48400.0,11,11X529
General Academic,Junior High-Intermediate-Middle,10466,2049350001.0,48400.0,11,11X532
General Academic,High school,10469,2043580001.0,32400.0,11,11X542
General Academic,High school,10467,2046330040.0,37200.0,11,11X544
General Academic,High school,10467,2046330040.0,37200.0,11,11X545
General Academic,Junior High-Intermediate-Middle,10467,2044320001.0,33000.0,11,11X556
General Academic,Junior High-Intermediate-Middle,10469,2044930001.0,31000.0,11,11X566
General Academic,Elementary,10462,2039480055.0,22200.0,11,11X567
General Academic,Elementary,10460,2030050010.0,35900.0,12,12X006
General Academic,Elementary,10457,2029490064.0,36902.0,12,12X044
General Academic,Elementary,10472,2037860016.0,7600.0,12,12X047
General Academic,Elementary,10457,2030810026.0,37300.0,12,12X057
General Academic,Elementary,10460,2029390045.0,15300.0,12,12X061
General Academic,Elementary,10460,2030080001.0,15700.0,12,12X066
General Academic,Elementary,10460,2031230003.0,36300.0,12,12X067
General Academic,Junior High-Intermediate-Middle,10460,2029390093.0,15500.0,12,12X098
General Academic,Junior High-Intermediate-Middle,10460,2031090001.0,37100.0,12,12X129
General Academic,Elementary,10459,2029650082.0,15300.0,12,12X134
General Academic,Elementary,10459,2027170005.0,12701.0,12,12X150
General Academic,Junior High-Intermediate-Middle,10460,2029390045.0,15300.0,12,12X190
General Academic,Elementary,10472,2037750025.0,5400.0,12,12X195
General Academic,Elementary,10472,2037750025.0,5400.0,12,12X196
General Academic,K-8,10457,2029510032.0,36901.0,12,12X211
General Academic,K-8,10460,2030210038.0,6000.0,12,12X214
General Academic,Junior High-Intermediate-Middle,10459,2027140004.0,15900.0,12,12X217
General Academic,Secondary School,10472,2038640001.0,5600.0,12,12X242
General Academic,High school,10459,2026920014.0,13100.0,12,12X248
General Academic,High school,10460,2029390093.0,15500.0,12,12X251
General Academic,Secondary School,10456,2026710011.0,13100.0,12,12X267
General Academic,Secondary School,10460,2029830015.0,16100.0,12,12X271
General Academic,Junior High-Intermediate-Middle,10457,2030810026.0,37300.0,12,12X273
General Academic,Junior High-Intermediate-Middle,10460,2030080001.0,15700.0,12,12X286
General Academic,Elementary,10457,2031090001.0,37100.0,12,12X300
General Academic,Elementary,10460,2029960010.0,15700.0,12,12X314
General Academic,Junior High-Intermediate-Middle,10460,2031090001.0,37100.0,12,12X316
General Academic,Junior High-Intermediate-Middle,10457,2029510032.0,36901.0,12,12X318
General Academic,Junior High-Intermediate-Middle,10459,2027140004.0,15900.0,12,12X341
General Academic,Junior High-Intermediate-Middle,10460,2030210038.0,6000.0,12,12X383
General Academic,High school,10472,2038640001.0,5600.0,12,12X388
Transfer School,High school,10459,2026980012.0,12901.0,12,12X446
General Academic,Elementary,10460,2029960010.0,15700.0,12,12X458
General Academic,Elementary,10456,2026720001.0,13500.0,12,12X463
General Academic,High school,10472,2038640001.0,5600.0,12,12X478
General Academic,High school,10456,2026710011.0,13100.0,12,12X479
Transfer School,High school,10459,2026980012.0,12901.0,12,12X480
General Academic,High school,10460,2029390093.0,15500.0,12,12X511
General Academic,High school,10472,2038640001.0,5600.0,12,12X521
General Academic,Elementary,10460,2039210030.0,21601.0,12,12X531
General Academic,Elementary,10460,2039210030.0,21601.0,12,12X536
General Academic,High school,10472,2038640001.0,5600.0,12,12X550
General Academic,Elementary,10457,2030920014.0,37100.0,12,12X595
General Academic,District Pre-K Center,10460,2030160050.0,359.0,12,12X626
General Academic,High school,10460,2030130001.0,15700.0,12,12X682
General Academic,High school,10460,2040060003.0,22000.0,12,12X684
General Academic,Elementary,10460,2039210030.0,21601.0,12,12X691
General Academic,Elementary,11216,3019980001.0,22700.0,13,13K003
General Academic,Elementary,11201,3002110001.0,100.0,13,13K008
General Academic,Elementary,11238,3011450026.0,20500.0,13,13K009
General Academic,Elementary,11238,3019620010.0,19900.0,13,13K011
General Academic,Elementary,11205,3020910003.0,18300.0,13,13K020
General Academic,Elementary,11221,3018210001.0,27700.0,13,13K044
General Academic,Elementary,11205,3020450011.0,18700.0,13,13K046
General Academic,Elementary,11205,3017650015.0,24100.0,13,13K054
General Academic,Elementary,11238,3019830010.0,23100.0,13,13K056
General Academic,Elementary,11205,3020390002.0,2901.0,13,13K067
General Academic,Elementary,11216,3018680007.0,24700.0,13,13K093
General Academic,Junior High-Intermediate-Middle,11205,3021030004.0,18100.0,13,13K113
General Academic,Elementary,11217,3009400111.0,12901.0,13,13K133
General Academic,Elementary,11216,3017840020.0,25300.0,13,13K256
General Academic,Secondary School,11205,3020280001.0,21100.0,13,13K265
General Academic,Junior High-Intermediate-Middle,11217,3009410050.0,12902.0,13,13K266
General Academic,Elementary,11205,3019230001.0,19300.0,13,13K270
General Academic,K-8,11217,3009500024.0,13100.0,13,13K282
General Academic,Elementary,11201,3001110001.0,2300.0,13,13K287
General Academic,Junior High-Intermediate-Middle,11216,3018680007.0,24700.0,13,13K301
General Academic,Elementary,11201,3000560007.0,2100.0,13,13K307
General Academic,Junior High-Intermediate-Middle,11201,3000367504.0,2100.0,13,13K313
General Academic,High school,11201,3001200020.0,1500.0,13,13K350
General Academic,Junior High-Intermediate-Middle,11238,3019830010.0,23100.0,13,13K351
General Academic,High school,11205,3019260010.0,23500.0,13,13K412
General Academic,High school,11201,3001200020.0,1500.0,13,13K419
General Academic,High school,11217,3020980013.0,3300.0,13,13K430
General Academic,High school,11201,3001200020.0,1500.0,13,13K439
General Academic,High school,11201,3001400010.0,1100.0,13,13K483
General Academic,K-8,11216,3018190014.0,26500.0,13,13K492
General Academic,Secondary School,11201,3001400010.0,1100.0,13,13K527
Transfer School,High school,11216,3018230038.0,24900.0,13,13K553
General Academic,High school,11238,3011410005.0,30500.0,17,13K594
General Academic,High school,11216,3018120001.0,24300.0,13,13K595
Career Technical,High school,11201,3001310001.0,1300.0,13,13K605
Transfer School,High school,11205,3019260010.0,23500.0,13,13K616
General Academic,High school,11205,3018880034.0,19100.0,13,13K670
Career Technical,High school,11201,3001310001.0,1300.0,13,13K674
General Academic,Junior High-Intermediate-Middle,11205,3020450011.0,18700.0,13,13K691
General Academic,District Pre-K Center,11201,3000367504.0,2100.0,13,13K869
General Academic,Junior High-Intermediate-Middle,11201,3001310001.0,1300.0,13,13K915
General Academic,Elementary,11211,3021770001.0,53500.0,14,14K016
General Academic,Elementary,11211,3023450001.0,51900.0,14,14K017
General Academic,Elementary,11206,3027870001.0,50300.0,14,14K018
General Academic,Elementary,11206,3017590013.0,25901.0,14,14K023
General Academic,Elementary,11222,3025950001.0,56100.0,14,14K031
General Academic,Elementary,11222,3026220028.0,57300.0,14,14K034
General Academic,Junior High-Intermediate-Middle,11211,3024190001.0,52300.0,14,14K050
General Academic,Elementary,11206,3017490001.0,28502.0,14,14K059
General Academic,Secondary School,11206,3022270001.0,52900.0,14,14K071
General Academic,K-8,11249,3023910001.0,55100.0,14,14K084
General Academic,Elementary,11222,3026880042.0,59100.0,14,14K110
General Academic,Elementary,11206,3031370026.0,38900.0,14,14K120
General Academic,Junior High-Intermediate-Middle,11222,3027120001.0,49900.0,14,14K126
General Academic,Elementary,11211,3027590001.0,49700.0,14,14K132
General Academic,Elementary,11206,3030910001.0,48500.0,14,14K147
General Academic,K-8,11205,3018970013.0,123700.0,14,14K157
General Academic,Elementary,11206,3030460001.0,48500.0,14,14K196
General Academic,Elementary,11206,3030600001.0,50500.0,14,14K250
General Academic,Elementary,11206,3031140011.0,49100.0,14,14K257
General Academic,Elementary,11206,3017390011.0,25700.0,14,14K297
General Academic,Junior High-Intermediate-Middle,11206,3022460001.0,50900.0,14,14K318
General Academic,Early Childhood,11211,3024240001.0,52700.0,14,14K319
General Academic,Elementary,11206,3022360009.0,53100.0,14,14K380
General Academic,Elementary,11211,3024230001.0,52700.0,14,14K414
General Academic,High school,11206,3030250001.0,50500.0,14,14K449
General Academic,High school,11206,3030250001.0,50500.0,14,14K454
General Academic,High school,11211,3030160001.0,48500.0,14,14K474
General Academic,High school,11211,3030160001.0,48500.0,14,14K477
General Academic,High school,11211,3030160001.0,48500.0,14,14K478
General Academic,High school,11211,3023300011.0,51900.0,14,14K488
Career Technical,High school,11211,3023300011.0,51900.0,14,14K558
General Academic,High school,11211,3023300011.0,51900.0,14,14K561
General Academic,Junior High-Intermediate-Middle,11211,3023450001.0,51900.0,14,14K577
General Academic,Junior High-Intermediate-Middle,11206,3030460001.0,48500.0,14,14K582
General Academic,Secondary School,11206,3030250001.0,50500.0,14,14K586
Career Technical,High school,11222,3026700001.0,51700.0,14,14K610
General Academic,Secondary School,11206,3030910001.0,48500.0,14,14K614
General Academic,High school,11211,3022070002.0,52900.0,14,14K685
General Academic,Elementary,11220,3007550022.0,8000.0,15,15K001
General Academic,Elementary,11215,3008690001.0,14900.0,15,15K010
General Academic,Elementary,11231,3005660001.0,5300.0,15,15K015
General Academic,Elementary,11232,3007010001.0,8400.0,15,15K024
General Academic,Elementary,11201,3003110001.0,4500.0,15,15K029
General Academic,Elementary,11231,3004370001.0,7500.0,15,15K032
General Academic,Elementary,11217,3001910001.0,3900.0,15,15K038
General Academic,Elementary,11215,3010000001.0,15300.0,15,15K039
General Academic,Junior High-Intermediate-Middle,11215,3009810111.0,13500.0,15,15K051
General Academic,Elementary,11231,3004490015.0,7700.0,15,15K058
General Academic,Junior High-Intermediate-Middle,11215,3008800001.0,14700.0,15,15K088
General Academic,Elementary,11220,3007920026.0,9800.0,15,15K094
General Academic,Elementary,11215,3011010001.0,16700.0,15,15K107
General Academic,Elementary,11215,3009980001.0,13700.0,15,15K118
General Academic,Elementary,11215,3010340001.0,14100.0,15,15K124
General Academic,Elementary,11218,3053190001.0,50000.0,15,15K130
General Academic,Elementary,11219,3056030001.0,22400.0,15,15K131
General Academic,Junior High-Intermediate-Middle,11232,3007130020.0,8200.0,15,15K136
General Academic,Elementary,11231,3003690001.0,6300.0,15,15K146
General Academic,Elementary,11215,3052570001.0,17100.0,15,15K154
General Academic,Elementary,11232,3007320001.0,9200.0,15,15K169
General Academic,Elementary,11232,3006690001.0,10100.0,15,15K172
General Academic,Elementary,11218,3053230032.0,49800.0,15,15K230
General Academic,Elementary,11201,3001880014.0,4300.0,15,15K261
General Academic,Elementary,11215,3008800001.0,14700.0,15,15K295
General Academic,Elementary,11215,3009710028.0,15500.0,15,15K321
Transfer School,High school,11201,3001690009.0,4300.0,15,15K423
General Academic,High school,11201,3004020001.0,6900.0,15,15K429
General Academic,Junior High-Intermediate-Middle,11215,3008890001.0,150200.0,15,15K442
General Academic,Junior High-Intermediate-Middle,11215,3008800001.0,14700.0,15,15K443
General Academic,Junior High-Intermediate-Middle,11217,3001920013.0,3900.0,15,15K447
General Academic,Secondary School,11231,3003690001.0,6300.0,15,15K448
General Academic,High school,11215,3010820001.0,15500.0,15,15K462
General Academic,High school,11215,3010820001.0,15500.0,15,15K463
General Academic,Secondary School,11215,3010820001.0,15500.0,15,15K464
General Academic,Secondary School,11201,3004020001.0,6900.0,15,15K497
General Academic,Elementary,11232,3007230025.0,8200.0,15,15K516
General Academic,High school,11201,3003970011.0,6900.0,15,15K519
Transfer School,High school,11219,3055870038.0,11000.0,15,15K529
General Academic,High school,11217,3001740001.0,3900.0,15,15K592
General Academic,High school,11217,3001920013.0,3900.0,15,15K656
General Academic,High school,11232,3006880026.0,8400.0,15,15K667
General Academic,Elementary,11231,3005250001.0,5900.0,15,15K676
General Academic,High school,11215,3010820001.0,15500.0,15,15K684
Transfer School,High school,11231,3005750003.0,5300.0,15,15K698
General Academic,District Pre-K Center,11232,3006510047.0,10100.0,15,15K767
General Academic,Junior High-Intermediate-Middle,11232,3007130020.0,8200.0,15,15K821
General Academic,Junior High-Intermediate-Middle,11218,3053210064.0,50400.0,15,15K839
General Academic,District Pre-K Center,11215,3008890001.0,150200.0,15,15K863
General Academic,Elementary,11220,3007770001.0,108.0,15,15K896
General Academic,Elementary,11233,3014900001.0,37700.0,16,16K005
General Academic,Elementary,11233,3016920017.0,38100.0,16,16K021
General Academic,Elementary,11221,3017870014.0,28100.0,16,16K025
General Academic,Elementary,11221,3016160001.0,29100.0,16,16K026
General Academic,Junior High-Intermediate-Middle,11233,3016740011.0,27300.0,16,16K035
General Academic,Elementary,11233,3015180001.0,37900.0,16,16K040
General Academic,Junior High-Intermediate-Middle,11221,3016160001.0,29100.0,16,16K057
General Academic,Elementary,11221,3016020019.0,28900.0,16,16K081
General Academic,Elementary,11213,3013470001.0,30900.0,16,16K243
General Academic,Elementary,11233,3016710019.0,29700.0,16,16K262
General Academic,Junior High-Intermediate-Middle,11221,3016360001.0,29300.0,16,16K267
General Academic,K-8,11221,3016300001.0,29300.0,16,16K308
General Academic,Elementary,11221,3016430036.0,38500.0,16,16K309
General Academic,Elementary,11213,3013550023.0,30700.0,16,16K335
General Academic,High school,11213,3017010001.0,27100.0,16,16K455
General Academic,High school,11221,3014820001.0,37500.0,16,16K498
General Academic,Elementary,11206,3017730014.0,28100.0,16,16K627
General Academic,Elementary,11233,3016740011.0,27300.0,16,16K628
Transfer School,High school,11213,3017010001.0,27100.0,16,16K669
General Academic,Junior High-Intermediate-Middle,11221,3016160001.0,29100.0,16,16K681
General Academic,High school,11221,3016160001.0,29100.0,16,16K688
General Academic,High school,11213,3017010001.0,27100.0,16,16K765
General Academic,Junior High-Intermediate-Middle,11213,3013550023.0,30700.0,16,16K898
General Academic,Junior High-Intermediate-Middle,11226,3050500051.0,80200.0,17,17K002
General Academic,Elementary,11226,3051030079.0,79400.0,17,17K006
General Academic,Elementary,11233,3014570032.0,36300.0,23,17K012
General Academic,Junior High-Intermediate-Middle,11225,3013160015.0,32900.0,17,17K061
General Academic,Elementary,11203,3047940026.0,80600.0,17,17K091
General Academic,Elementary,11226,3050490055.0,80200.0,17,17K092
Career Technical,High school,11213,3012160046.0,31100.0,17,17K122
General Academic,K-8,11216,3012330026.0,31701.0,17,17K138
General Academic,Elementary,11225,3012970026.0,31900.0,17,17K161
General Academic,K-8,11203,3049040010.0,85600.0,17,17K181
General Academic,K-8,11212,3045990001.0,89200.0,17,17K189
General Academic,Elementary,11233,3013750012.0,35900.0,17,17K191
General Academic,Elementary,11213,3014230014.0,35500.0,17,17K221
General Academic,Elementary,11225,3011880001.0,21300.0,17,17K241
General Academic,Junior High-Intermediate-Middle,11226,3051100025.0,79400.0,17,17K246
General Academic,Elementary,11226,3050750001.0,50600.0,17,17K249
General Academic,Elementary,11213,3012290028.0,34100.0,17,17K289
General Academic,Elementary,11238,3011670018.0,21500.0,17,17K316
General Academic,Junior High-Intermediate-Middle,11238,3011640064.0,16300.0,13,17K340
General Academic,Junior High-Intermediate-Middle,11225,3013010001.0,32500.0,17,17K352
General Academic,Junior High-Intermediate-Middle,11238,3011670018.0,21500.0,17,17K353
General Academic,Junior High-Intermediate-Middle,11213,3013700029.0,34300.0,17,17K354
General Academic,Elementary,11225,3013010001.0,32500.0,17,17K375
General Academic,Secondary School,11226,3051030010.0,79400.0,17,17K382
General Academic,K-8,11213,3013670022.0,34700.0,17,17K394
General Academic,Elementary,11203,3048150020.0,81000.0,17,17K397
General Academic,Elementary,11212,3045950215.0,88200.0,17,17K398
General Academic,Elementary,11226,3051110001.0,82400.0,17,17K399
General Academic,High school,11226,3051030010.0,79400.0,17,17K408
General Academic,Junior High-Intermediate-Middle,11233,3014570032.0,36300.0,23,17K484
General Academic,High school,11225,3011870001.0,21300.0,17,17K524
General Academic,High school,11225,3011870001.0,21300.0,17,17K528
General Academic,High school,11203,3048110001.0,81000.0,17,17K531
General Academic,Elementary,11213,3013890035.0,35300.0,17,17K532
General Academic,High school,11226,3051030010.0,79400.0,17,17K537
General Academic,High school,11226,3051030010.0,79400.0,17,17K539
General Academic,Secondary School,11226,3051030010.0,79400.0,17,17K543
General Academic,High school,11203,3048110001.0,81000.0,17,17K546
General Academic,High school,11225,3011870001.0,21300.0,17,17K547
General Academic,High school,11225,3011870001.0,21300.0,17,17K548
Transfer School,High school,11212,3035080012.0,90000.0,17,17K568
General Academic,Secondary School,11225,3012890025.0,32100.0,17,17K590
Career Technical,High school,11225,3011870001.0,21300.0,17,17K600
Transfer School,High school,11225,3012670001.0,32300.0,17,17K646
General Academic,Elementary,11238,3011480050.0,30500.0,17,17K705
General Academic,Junior High-Intermediate-Middle,11203,3048060001.0,87600.0,17,17K722
General Academic,High school,11203,3048110001.0,81000.0,17,17K745
Career Technical,High school,11213,3012160046.0,31100.0,17,17K751
General Academic,Elementary,11212,3045950215.0,88200.0,17,17K770
General Academic,K-8,11236,3081290060.0,97000.0,18,18K066
General Academic,Junior High-Intermediate-Middle,11236,3080180001.0,95600.0,18,18K068
General Academic,Elementary,11236,3081600022.0,96400.0,18,18K114
General Academic,Elementary,11236,3082560001.0,100800.0,18,18K115
General Academic,Elementary,11203,3046730001.0,87000.0,18,18K135
General Academic,Elementary,11203,3047690025.0,84000.0,18,18K208
General Academic,Junior High-Intermediate-Middle,11236,3082270001.0,98800.0,18,18K211
General Academic,Elementary,11212,3046480001.0,88600.0,18,18K219
General Academic,Elementary,11236,3047530001.0,93000.0,18,18K233
General Academic,K-8,11203,3048440001.0,81400.0,18,18K235
General Academic,Elementary,11203,3047390001.0,94600.0,18,18K244
