dbn,schoolName,cohortYear,cohort,numTotalCohort,numGrads,pctGrad
01M292,ORCHARD COLLEGIATE ACADEMY,2003,6 year June,5,,
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2016,4 year August,128,124.0,0.96875
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2015,4 year August,99,93.0,0.9393939209
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2014,4 year August,88,82.0,0.931818161
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2013,4 year August,78,70.0,0.8974359131
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2012,4 year August,66,50.0,0.7575757599
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2011,4 year August,82,70.0,0.8536585236
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2010,4 year August,71,57.0,0.802816925
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2009,4 year August,88,69.0,0.7840908813
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2008,4 year August,120,90.0,0.75
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,4 year August,150,106.0,0.7066666411999999
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,4 year August,124,60.0,0.48387096409999997
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,4 year August,121,70.0,0.5785123825
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2016,4 year June,128,123.0,0.9609375
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2015,4 year June,99,92.0,0.9292929077
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2014,4 year June,88,82.0,0.931818161
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2013,4 year June,78,70.0,0.8974359131
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2012,4 year June,66,50.0,0.7575757599
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2011,4 year June,82,68.0,0.8292682648
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2010,4 year June,71,56.0,0.7887323761
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2009,4 year June,88,65.0,0.7386363982999999
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2008,4 year June,120,80.0,0.6666666412
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,4 year June,150,99.0,0.66
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,4 year June,124,53.0,0.4274193573
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,4 year June,121,64.0,0.5289256287
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,4 year June,112,75.0,0.669642868
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,4 year June,87,67.0,0.770114975
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,4 year June,52,33.0,0.6346154022
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,4 year June,64,46.0,0.71875
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2015,5 year August,99,95.0,0.9595959473000001
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2014,5 year August,88,82.0,0.931818161
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2013,5 year August,78,70.0,0.8974359131
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2012,5 year August,64,50.0,0.78125
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2011,5 year August,80,71.0,0.8875
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2010,5 year August,71,57.0,0.802816925
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2009,5 year August,88,72.0,0.818181839
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2008,5 year August,119,99.0,0.8319327545
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,5 year August,147,113.0,0.7687075043
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,5 year August,116,77.0,0.6637931061000001
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2015,5 year June,99,95.0,0.9595959473000001
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2014,5 year June,88,82.0,0.931818161
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2013,5 year June,78,70.0,0.8974359131
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2012,5 year June,64,50.0,0.78125
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2011,5 year June,80,71.0,0.8875
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2010,5 year June,71,57.0,0.802816925
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2009,5 year June,88,72.0,0.818181839
